2018-08-31 11:27:27,587 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/fence/delete/{gid}],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.FenceController.changeStatus(java.lang.String)
2018-08-31 11:27:27,588 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/fence/changeStatus],methods=[POST]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.FenceController.changeStatus(com.lkmotion.yesincar.dto.map.request.FenceRequest)
2018-08-31 11:27:27,589 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/order],methods=[POST]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.OrderController.order(com.lkmotion.yesincar.dto.map.request.OrderRequest)
2018-08-31 11:27:27,590 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/route/distance],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.RouteController.distance(com.lkmotion.yesincar.dto.map.request.RouteRequest)
2018-08-31 11:27:27,591 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/route/points],methods=[GET]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.RouteController.points(com.lkmotion.yesincar.dto.map.request.RouteRequest)
2018-08-31 11:27:27,592 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/test]}" onto public java.lang.String com.lkmotion.yesincar.controller.TestController.test()
2018-08-31 11:27:27,593 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/vehicle],methods=[POST]}" onto public com.lkmotion.yesincar.dto.ResponseResult com.lkmotion.yesincar.controller.VehicleController.vehicle(com.lkmotion.yesincar.dto.map.request.VehicleRequest)
2018-08-31 11:27:27,597 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-08-31 11:27:27,599 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.RequestMappingHandlerMapping | (Jdk14Logger.java:99)- Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-08-31 11:27:27,658 | INFO | main | org.springframework.web.servlet.handler.SimpleUrlHandlerMapping | (Jdk14Logger.java:99)- Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-08-31 11:27:27,659 | INFO | main | org.springframework.web.servlet.handler.SimpleUrlHandlerMapping | (Jdk14Logger.java:99)- Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-08-31 11:27:27,677 | INFO | main | org.springframework.web.servlet.mvc.method.annotation.ExceptionHandlerExceptionResolver | (Jdk14Logger.java:99)- Detected @ExceptionHandler methods in globalExceptionHandler
2018-08-31 11:27:28,021 | INFO | main | org.springframework.context.support.DefaultLifecycleProcessor | (Jdk14Logger.java:99)- Starting beans in phase 2147483647
2018-08-31 11:27:28,026 | INFO | main | org.apache.coyote.http11.Http11NioProtocol | (DirectJDKLog.java:180)- Starting ProtocolHandler ["http-nio-auto-1"]
2018-08-31 11:27:28,035 | INFO | main | org.apache.tomcat.util.net.NioSelectorPool | (DirectJDKLog.java:180)- Using a shared selector for servlet write/read
2018-08-31 11:27:28,051 | INFO | main | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | (Jdk14Logger.java:99)- Tomcat started on port(s): 49816 (http) with context path ''
2018-08-31 11:27:28,056 | INFO | main | com.lkmotion.yesincar.VehicleMapTest | (Jdk14Logger.java:99)- Started VehicleMapTest in 3.24 seconds (JVM running for 4.008)
2018-08-31 11:27:28,207 | INFO | Thread-4 | org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext | (Jdk14Logger.java:99)- Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@4fa1c212: startup date [Fri Aug 31 11:27:25 CST 2018]; root of context hierarchy
